subject,vote,pro,against
1e wijziging Verordening Precariobelasting Helmond 2021 en 2e wijziging Legesverordening Helmond 2021 Raadsvoorstel 35,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Wijziging Verordening op de ambtelijke bijstand aan raadsleden en fractieondersteuning 2019 - beschikbaar houden niet bestede fractiebudgetten Raadsvoorstel 39,aangenomen,"GL, VVD, HH, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ","SP, Helmond Aktief, "
Verordening vestigen uitsluitend recht Collectieve Aanvullende verzekering (CAV) (gewijzigd) Raadsvoorstel 46,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Fase 2 De Braak Raadsvoorstel 42,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Formatieuitbreiding Raadsgriffie t.b.v. raadscommunicatie Raadsvoorstel 51,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
raadsvoorstel-zelf (met amendement),"aangenomen met de stemmen van de fracties GroenLinks, SP en D66 tegen","VVD, Fractie Michael Rieter, CDA, Lokaal sterk, 50PLUS, Helder Helmond, Helmond Aktief, BachPlus, ","GroenLinks, SP, D66, "
BP ’t Hout – Ganzewinkel naast 4 ongenummerd Raadsvoorstel 45,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Motie bredere inzet van loonkostensubsidie,aangenomen,,
Motie Financiële ondersteuning plaatselijke ondernemers,aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Financiële ondersteuning plaatselijke ondernemers,aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
